iter	Passed	Remaining
0	185	185724
1	199	99627
2	207	69089
3	214	53430
4	222	44273
5	233	38601
6	239	34042
7	250	31100
8	263	28959
9	269	26686
10	278	25002
11	287	23668
12	296	22488
13	305	21484
14	313	20583
15	323	19876
16	333	19297
17	340	18577
18	349	18037
19	356	17464
20	366	17088
21	375	16712
22	389	16565
23	396	16123
24	403	15746
25	411	15432
26	420	15167
27	432	15022
28	444	14876
29	453	14677
30	461	14435
31	471	14256
32	482	14144
33	489	13906
34	497	13723
35	504	13520
36	511	13306
37	520	13178
38	527	12996
39	538	12928
40	548	12830
41	566	12927
42	579	12893
43	587	12771
44	596	12654
45	607	12597
46	616	12502
47	624	12380
48	634	12318
49	642	12210
50	650	12106
51	659	12030
52	667	11935
53	677	11869
54	685	11778
55	692	11678
56	700	11594
57	707	11484
58	714	11390
59	721	11310
60	730	11240
61	739	11184
62	747	11117
63	755	11050
64	763	10981
65	772	10933
66	780	10874
67	788	10813
68	797	10762
69	811	10782
70	827	10828
71	835	10769
72	844	10726
73	853	10680
74	861	10621
75	870	10578
76	877	10516
77	887	10485
78	900	10500
79	915	10524
80	931	10570
81	942	10547
82	948	10475
83	958	10450
84	973	10484
85	983	10456
86	999	10485
87	1011	10482
88	1020	10447
89	1031	10425
90	1044	10430
91	1054	10407
92	1061	10353
93	1071	10329
94	1080	10289
95	1090	10264
96	1100	10243
97	1109	10208
98	1117	10166
99	1126	10134
100	1133	10087
101	1141	10052
102	1148	10003
103	1160	9993
104	1168	9962
105	1180	9953
106	1198	10000
107	1206	9968
108	1214	9930
109	1226	9920
110	1235	9899
111	1244	9864
112	1254	9844
113	1262	9813
114	1273	9802
115	1282	9776
116	1289	9733
117	1297	9699
118	1305	9662
119	1313	9630
120	1322	9604
121	1328	9561
122	1338	9542
123	1352	9552
124	1360	9525
125	1373	9529
126	1381	9494
127	1389	9468
128	1399	9448
129	1408	9426
130	1417	9400
131	1426	9377
132	1436	9365
133	1446	9347
134	1456	9335
135	1464	9306
136	1473	9280
137	1482	9257
138	1490	9230
139	1499	9212
140	1509	9199
141	1515	9157
142	1523	9131
143	1532	9110
144	1541	9087
145	1551	9077
146	1559	9051
147	1568	9028
148	1580	9027
149	1598	9058
150	1612	9068
151	1627	9079
152	1641	9085
153	1649	9059
154	1656	9030
155	1665	9011
156	1672	8981
157	1680	8955
158	1687	8924
159	1696	8906
160	1700	8863
161	1711	8854
162	1725	8859
163	1734	8842
164	1741	8813
165	1753	8808
166	1767	8816
167	1791	8874
168	1806	8881
169	1814	8857
170	1822	8837
171	1834	8829
172	1840	8796
173	1847	8771
174	1853	8738
175	1862	8718
176	1868	8685
177	1876	8663
178	1882	8633
179	1890	8614
180	1901	8605
181	1908	8579
182	1917	8558
183	1922	8527
184	1932	8514
185	1938	8482
186	1945	8458
187	1951	8429
188	1962	8421
189	1969	8396
190	1975	8368
191	1985	8354
192	1994	8340
193	2002	8319
194	2008	8290
195	2015	8269
196	2020	8237
197	2031	8227
198	2037	8200
199	2045	8181
200	2052	8157
201	2059	8134
202	2065	8110
203	2072	8087
204	2078	8060
205	2086	8040
206	2093	8019
207	2103	8008
208	2110	7989
209	2118	7967
210	2127	7955
211	2135	7935
212	2144	7923
213	2152	7906
214	2160	7889
215	2171	7880
216	2185	7886
217	2195	7876
218	2203	7857
219	2211	7841
220	2218	7821
221	2227	7804
222	2236	7792
223	2244	7774
224	2253	7763
225	2263	7751
226	2270	7732
227	2284	7735
228	2295	7729
229	2304	7714
230	2312	7697
231	2323	7691
232	2334	7684
233	2341	7665
234	2351	7653
235	2362	7646
236	2369	7629
237	2380	7622
238	2390	7612
239	2405	7615
240	2412	7597
241	2434	7624
242	2461	7668
243	2477	7674
244	2485	7659
245	2493	7643
246	2507	7645
247	2520	7641
248	2528	7625
249	2534	7604
250	2546	7600
251	2558	7595
252	2577	7609
253	2592	7612
254	2601	7601
255	2609	7584
256	2618	7570
257	2626	7554
258	2636	7543
259	2649	7541
260	2661	7535
261	2668	7517
262	2679	7508
263	2688	7495
264	2696	7479
265	2705	7464
266	2717	7459
267	2732	7463
268	2740	7447
269	2749	7432
270	2761	7429
271	2769	7413
272	2781	7406
273	2792	7399
274	2809	7406
275	2826	7414
276	2841	7415
277	2862	7434
278	2870	7418
279	2882	7413
280	2889	7394
281	2901	7386
282	2912	7378
283	2922	7368
284	2930	7350
285	2937	7333
286	2947	7321
287	2953	7301
288	2963	7291
289	2974	7282
290	2985	7273
291	2991	7253
292	2998	7234
293	3005	7216
294	3016	7208
295	3021	7185
296	3027	7166
297	3034	7148
298	3041	7130
299	3047	7111
300	3053	7090
301	3072	7100
302	3086	7101
303	3095	7085
304	3105	7075
305	3114	7063
306	3122	7048
307	3132	7038
308	3154	7053
309	3162	7040
310	3176	7036
311	3189	7032
312	3212	7051
313	3229	7056
314	3267	7105
315	3284	7108
316	3295	7100
317	3310	7100
318	3323	7094
319	3338	7095
320	3352	7091
321	3368	7092
322	3383	7091
323	3402	7099
324	3412	7087
325	3430	7092
326	3465	7132
327	3483	7137
328	3509	7158
329	3533	7174
330	3562	7199
331	3578	7199
332	3593	7198
333	3607	7192
334	3626	7198
335	3642	7199
336	3659	7200
337	3671	7191
338	3688	7191
339	3700	7182
340	3721	7192
341	3731	7179
342	3741	7165
343	3751	7153
344	3759	7137
345	3768	7123
346	3779	7113
347	3787	7096
348	3795	7079
349	3802	7060
350	3810	7046
351	3822	7037
352	3833	7026
353	3843	7013
354	3852	6999
355	3862	6986
356	3870	6970
357	3878	6955
358	3887	6941
359	3897	6929
360	3911	6923
361	3922	6912
362	3931	6898
363	3938	6882
364	3950	6872
365	3962	6864
366	3977	6860
367	3988	6849
368	3999	6838
369	4011	6830
370	4019	6814
371	4033	6808
372	4044	6798
373	4052	6782
374	4065	6775
375	4079	6769
376	4094	6766
377	4101	6749
378	4110	6734
379	4119	6720
380	4126	6703
381	4133	6687
382	4141	6672
383	4149	6657
384	4162	6648
385	4172	6637
386	4181	6622
387	4190	6609
388	4200	6597
389	4207	6581
390	4218	6570
391	4226	6555
392	4234	6540
393	4248	6533
394	4261	6526
395	4268	6510
396	4276	6495
397	4286	6484
398	4295	6470
399	4306	6459
400	4317	6448
401	4327	6437
402	4335	6422
403	4347	6413
404	4358	6403
405	4370	6393
406	4383	6387
407	4391	6372
408	4403	6362
409	4414	6353
410	4427	6344
411	4435	6330
412	4445	6318
